Unnamed: 0,text,label
34,"A clinical trial of topical terbinafine (a new allylamine antifungal) in the treatment of tinea pedis.
 Twenty-three patients were enrolled in a randomized, double-blind trial of terbinafine 1% cream compared with placebo vehicle in the treatment of tinea pedis.
 Of the 20 patients who were evaluated for efficacy, 10 received terbinafine and 10 received placebo.
 Except for the terbinafine-treated patients being an average of 11 years older than the patients receiving placebo and the median duration of disease being 6 weeks longer in the placebo group, the two groups were demographically and clinically similar.
 Results of mycologic tests and clinical findings showed terbinafine to be significantly more effective than placebo in the treatment of tinea pedis.
 Significantly more terbinafine-treated patients than placebo-treated patients showed conversion to negative culture and microscopy at end of therapy and a significant reduction in scored signs and symptoms.
 Overall efficacy at follow-up (combined mycologic and clinical findings) was also significantly greater in the terbinafine group (78%) than in the placebo group (zero) (p less than 0.001).
 Unexplained elevation of liver function test results was noted in three placebo-treated patients and in one terbinafine-treated patient, but these changes were not considered clinically relevant or drug related.
",0
11,"Individualizing treatment of vaginal candidiasis.
 Clinicians have a vast array of effective antimycotics for the treatment of vaginal candidiasis.
 Multiple topical formulations are available, yet there is little evidence to suggest that formulation per se influences outcome.
 A growing number of highly effective oral systemic antimycotic agents provide the practitioner with additional options.
 Treatment regimens have also changed with the introduction of shorter, often single-day/single-dose courses of therapy.
 Not all therapeutic agents have the same activity against vaginal fungal pathogens in that topical azoles tend to be more active than nystatin.
 Differences in patient characteristics, however, are more important than the differences between antimycotic agents and therapeutic regimens in determining selection of the appropriate antimycotic.
 Patients with vaginal candidiasis vary with regard to duration and severity of symptoms and past frequency of attacks, distribution of inflammation, and pregnancy status.
 The clinician should consider all these variables both in selecting the appropriate antimycotic agent and the route of administration and in planning the duration of therapy.
 Individualized therapy offers additional benefits to patients, who may then enjoy the maximum advantages of antimycotics now available.
",0
9,"Itraconazole in common dermatophyte infections of the skin: fixed treatment schedules.
 Itraconazole is an effective medication against the most common dermatophytoses.
 It has been shown to be more active than griseofulvin and ketoconazole.
 Ease of use, affinity for keratinized tissues, lack of toxicity, continued activity after discontinuation, and the possibility of using fixed schedules are advantages of itraconazole.
 The fixed schedules indicated by pharmacokinetics and clinical studies are one 100 mg capsule daily for 15 days in cases of tinea corporis and tinea cruris and the same dosage for 30 days in cases of tinea pedis and tinea manuum.
 These fixed treatments have some limitations, and they are not recommended for treating tinea capitis and tinea unguium.
 The drug is well tolerated.
",0
21,"In vitro evaluation of nicotinamide riboside analogs against Haemophilus influenzae.
 Exogenous NAD, nicotinamide mononucleotide, or nicotinamide riboside is required for the growth of Haemophilus influenzae.
 These compounds have been defined as the V-factor growth requirement.
 We have previously shown that the internalization of nicotinamide riboside is energy dependent and carrier mediated with saturation kinetics.
 Thionicotinamide riboside, 3-pyridinealdehyde riboside, 3-acetylpyridine riboside, and 3-aminopyridine riboside were prepared from their corresponding NAD analogs.
 These compounds and several other nicotinamide riboside analogs were evaluated for their ability to support the growth of H.
 influenzae and for their ability to block the uptake of [carbonyl-14C]nicotinamide riboside by H.
 influenzae.
 3-Aminopyridine riboside blocked the uptake of [carbonyl-14C]nicotinamide riboside and inhibited the growth of H.
 influenzae when NAD, nicotinamide mononucleotide, or nicotinamide riboside served as the V factor.
 The antibacterial activity of 3-aminopyridine riboside was found to be specific for H.
 influenzae but had no effect on the growth of Staphylococcus aureus or Escherichia coli.
 In additional experiments by reversed-phase high-performance liquid chromatography, it was determined that whole cells of H.
 influenzae degrade 3-aminopyridine adenine dinucleotide to 3-aminopyridine riboside, which is then internalized.
 Inside the cell, 3-aminopyridine riboside has the ability to interfere with the growth of H.
 influenzae by an undetermined mechanism.
",0
55,"Limited efficacy of a Haemophilus influenzae type b conjugate vaccine in Alaska Native infants. The Alaska H. influenzae Vaccine Study Group 
 BACKGROUND.
 The prevention of invasive Haemophilus influenzae type b disease requires a vaccine that is effective when administered during the first six months of life.
 The infants of Alaska Natives are at particularly high risk of invasive H.
 influenzae type b disease.
 METHODS.
 To evaluate the protective efficacy of a H.
 influenzae type b polysaccharide-diphtheria toxoid conjugate vaccine (polyribosylribitol phosphate-diphtheria toxoid [PRP-D]), we enrolled 2102 Alaska Native infants in a randomized, double-blind, placebo-controlled trial in which either the vaccine or a saline placebo was administered at approximately two, four, and six months of age.
 RESULTS.
 After 3969 subject-years of follow-up and 32 episodes of H.
 influenzae type b disease, the overall incidence of invasive disease was not reduced significantly in the vaccinated subjects (6.0 cases per 1000 patient-years), as compared with the placebo controls (9.6) or with other Alaska Native infants (6.0).
 After one, two, or three doses there was no significant protective efficacy with the vaccine; after three doses the efficacy was only 35 percent (95 percent confidence interval, -57 to 73).
 The lack of efficacy was not related to the age at onset of disease, age at immunization, type of disease, degree of Alaska Native heritage, time after immunization, or year of the study.
 Levels of H.
 influenzae type b anticapsular antibody in recipients of the vaccine became significantly higher than levels in those who received placebo only after the second and third doses.
 Even after the third dose, only 48 percent of the vaccinated infants had antibody levels of more than 0.1 microgram per milliliter (geometric mean titer, 0.18).
 Antibody responses did not vary with the level of maternally acquired antibody, degree of Alaska Native ancestry, or age at time of the first or second immunizations, but they increased with increasing age at time of the third dose (P less than 0.001).
 CONCLUSIONS.
 We found no evidence that the PRP-D vaccine provides significant protection, at least for Alaska Native infants, against invasive diseases caused by H.
 influenzae type b.
 The ineffectiveness of the vaccine paralleled its limited immunogenicity.
",0
82,"Postneonatal mortality in Norway: a study of recent trends and comparison with other mortality rates in Norwegian children.
 Postneonatal mortality in Norway decreased rapidly from 1956 to 1980 but subsequently remained stable.
 In recent years the postneonatal death rate appears to be increasing, primarily due to greater numbers of deaths attributed to the Sudden Infant Death Syndrome.
 During the same period, mortality among older children has also decreased, with the decline evident in all leading causes.
 Only among people aged 15 to 19 years have recent trends been less than encouraging, with the number of fatal traffic accidents in particular remaining stable or increasing.
 Although there is room for continued improvement, the widely held belief that the health status of Norwegian children is good is supported by the trends in mortality.
",0
81,"Postneonatal infectious disease mortality: the French situation.
 Mortality caused by infectious and parasitic diseases represents a limited part of all postneonatal deaths in France, which have been stable for the past decade.
 This component is worthy of careful analysis because it is at least partially preventable.
 Statistics are presented and interpreted, with discussion on which disorders should be included in assessing the impact of infection on morbidity and mortality.
 Figures and international rankings change according to the inclusiveness of the definition chosen.
 There is need for epidemiologic and statistical research to make comparisons of mortality more clear.
 Morbidity is also important because of high incidence, frequent hospitalization, and a heavy social cost.
 Policy and services in France that relate to control and treatment of infection are described, as are shortcomings that call for further efforts.
",0
61,"Comparison of species distribution and antimicrobial susceptibility of aerobic actinomycetes from clinical specimens.
 To compare the species distribution and antimicrobial susceptibility of aerobic actinomycetes, we evaluated 366 isolates referred to the Centers for Disease Control from October 1985 through February 1988.
 We used conventional biochemical tests to identify the various species.
 Four species accounted for 191 (52%) of aerobic actinomycete isolates: Nocardia asteroides (98 isolates), Actinomadura madurae (42 isolates), Streptomyces griseus (28 isolates), and Nocardia brasiliensis (23 isolates).
 Sputum and wounds were the most common sources.
 No isolate was resistant to amikacin, no N.
 brasiliensis isolate was resistant to sulfamethoxazole or trimethoprim-sulfamethoxazole, and no A.
 madurae isolate was resistant to ceftriaxone or imipenem.
 In summary, our findings show that unusual species of aerobic actinomycetes can cause infection, colonization, or both and that antimicrobial resistance varies markedly by species.
",0
92,"Lack of association between medication use and the presence or absence of bacteriuria in elderly women.
 This study was undertaken to determine if there is an association between medication use and the presence or absence of bacteriuria in elderly ambulatory women.
 Of 198 women who participated in three urine culture surveys (every 6 months) during the 18-month study period, 66 (34.4%) had bacteriuria on at least one survey.
 Both univariate and multivariate analyses for the demographics, age, place of residence, and medication use (by drug class) revealed that only place of residence had a significant association with the presence or absence of bacteriuria.
 In this regard, bacteriuric subjects more commonly resided in the nursing home and less commonly lived in the apartment-house complex compared with nonbacteriuric subjects (P less than .05).
 Therefore, this study demonstrates that in elderly ambulatory women, medication use does not appear to be associated with the presence or absence of bacteriuria.
",0
67,"Percutaneous central venous catheterization. Three years' experience in a neonatal intensive care unit.
 Prolonged venous access is desirable in very-low-birth-weight infants and infants for whom feedings are contraindicated.
 We prospectively evaluated 481 small-diameter venous catheters placed percutaneously in 317 patients over 3 years.
 Of 478 catheters, 241 (50%) were placed in infants weighing 1 kg or less.
 Mean catheter stay was 13 days (range, less than 1 to 77 days).
 Almost half (49%) of the central and thoracic catheters (91% of placements) were removed nonelectively: 43% due to problems such as leaking or clotting and 6% to suspicion of sepsis or venous occlusion.
 Of the 23 episodes of possible sepsis in the 478 catheter stays, six (1.3%) were confirmed catheter-related sepsis; 12 (2.5%) were confirmed alternate locus sepsis.
 Three factors specific to percutaneous central venous catheter-related sepsis were prolonged catheter stay (3 to 5 weeks), Staphylococcus epidermidis, and weight less than or equal to 1 kg.
 Four factors specific to alternate locus sepsis were presence of an alternate infection site, earlier infection (1 to 2 weeks), extremely low birth weight, and prolonged clinical instability.
 Percutaneous central venous catheterizations reduced the need for the stress of repeated venipuncture, resulting in lower complication rates than those reported with surgically placed central venous catheters, and leading to identification of risk factors specific to catheter sepsis and alternate locus sepsis.
",0
114,"Suppression of herpes simplex virus type 1 reactivation from latency by (+-)-9-([(Z)-2-(hydroxymethyl)cyclohexyl]methyl) guanine (L-653,180) in vitro.
 Latent herpes simplex virus type 1 (HSV-1) infection was induced in human embryonic lung cells in vitro by using a combination of viral replication inhibitors and elevated temperature.
 Under reactivating conditions (superinfection by human cytomegalovirus or temperature manipulation), a nonantiviral thymidine kinase inhibitor (L-653,180) was found to suppress or delay reactivation of HSV-1 from latently infected human embryonic lung cells.
 L-653,180 alone or in combination with interferon was ineffective as a primary or acute viral replication inhibitor and was unable to induce latent HSV-1 infection in cell culture.
 These data suggest that initial or acute virus replication and replication resulting from reactivation from latency are separate events.
",1
131,"Are stressful life events risk factors for herpes zoster?
 To determine if psychologically stressful life events are risk factors for herpes zoster, we conducted a case-control study of zoster and self-reported recent negative life events and major changes in spousal relationships.
 The subjects were 101 healthy community-dwelling cases of zoster and 101 healthy controls matched for age, sex, and race and generated by random digit dialing.
 The Geriatric Scale of Recent Life Events was administered to case and control subjects, and additional questions were asked regarding the perception of the life event.
 The results showed that case subjects experienced negative life events significantly more often than subjects in the control groups in the 2 months before zoster onset by analysis of discordant pairs (26 versus 10, odds ratio 2.60, 95% confidence interval [CI] 1.13, 6.27, P = .012), 3 months before (29 versus 11, odds ratio 2.64, 95% CI 1.20, 6.04, P = .007), or 6 months before (35 versus 16, odds ratio 2.00, 95% CI 1.04, 3.93, P = .012).
 The mean number of total life events was significantly higher in cases at 6 months before zoster (case means = 2.64, control means = 1.82, P = .008), but there were no significant differences at 2, 3, or 12 months before.
 There were no significant differences between case subjects and control subjects for spousal events, or any given single life event.
 In conclusion, we found that whereas patients with herpes zoster experienced the same kinds of life events in the year preceding the illness as did control subjects, recent events perceived as stressful were significantly more common among patients with zoster.
",1
143,"Comparison of active and passive case detection of cutaneous leishmaniasis in Guatemala.
 To estimate the degree to which passive case detection underestimates the true incidence of cutaneous leishmaniasis in Guatemala, we compared data from the passive surveillance system of the Guatemalan Ministry of Health with a cross-sectional population-based survey of cutaneous leishmaniasis in Guatemala.
 Of the 2,938 persons interviewed, 143 (5%) reported having had cutaneous leishmaniasis at some time in the past, 37 (1.3%) reported the onset of infection in the 12 months before the survey, 31 (1.1%) had active infections, and 16 (0.5%) had parasitologically confirmed infections.
 Calculated on the basis of these reports and the estimated population of the endemic area, the total number of new cases in the leishmaniasis-endemic area in the 12 months before the survey was approximately 2,574; during the same 12 month period, Ministry of Health data based on passive surveillance listed 64 cases of cutaneous leishmaniasis.
 In Guatemala, incidence estimates based on passive surveillance may underestimate the occurrence of cutaneous leishmaniasis by as much as a factor of 40.
",2
279,"Endoscopic screening of early esophageal cancer with the Lugol dye method in patients with head and neck cancers.
 The poor prognosis for esophageal cancer could be improved if lesions were detected at an early stage.
 To detect early esophageal cancer, endoscopic screening of the esophagus with the Lugol dye method was performed in patients with head and neck cancers who were asymptomatic but regarded as being at high risk for synchronous or metachronous esophageal cancer.
 Of 178 patients screened, 9 had esophageal cancer (5.1%).
 Eight of these patients (89%) were at early stages with no lymph node metastasis.
 Most of the lesions (9 of 13 lesions) were not detectable by barium studies or ordinary endoscopic study.
 The epidemiologic statistical analysis of the patients confirmed that they had a significantly high observed and expected number (O/E) ratio (39.7; P less than 0.001).
 These results demonstrate the value of endoscopic screening of the esophagus with the Lugol dye method in patients with head and neck cancers and imply that endoscopic screening with the Lugol dye method may be useful for detecting early esophageal cancer in individuals at risk for other causes.
",3
429,"Variations in sensitivity after sectioning the intercostobrachial nerve.
 The authors present a prospective study of the variations in sensitivity that appear in the armpit and arm after the intercostobrachial nerve has been sectioned in a modified radical mastectomy.
 Of a total of 208 patients studied between 1978 and 1987, the intercostobrachial nerve was sectioned in 139 patients, whereas in 30 it remained intact; in 39 patients only peripheral branches of the nerve were sectioned.
 The patients were examined at regular postoperative intervals in order to evaluate their sensitivity both to touch and to pain in the axilla and arm.
 Four hundred thirty-three examinations were carried out and the 3 operative groups were assessed accordingly.
 After the nerve was sectioned, there was increasing anesthesia in the armpit and hypoesthesia on the posterointernal face of the arm, while for the patients in whom the intercostobrachial nerve remained intact, these alterations were less intense and long-lasting.
 Significant statistical differences between the two groups also exist.
 In the absence of axillary lymphatic ganglia infiltrated by the tumor, the conservation of the intercostobrachial nerve is recommended.
",3
209,"Carcinoma of the male breast: a review of 41 cases.
 We reviewed the cases of 41 consecutive men treated for breast carcinoma from 1950 through 1987 at Vanderbilt University Affiliated Hospitals to examine controversies in and methods of therapy for this disease.
 Twenty-two patients (52%) had stage I or II lesions potentially curable by operative therapy.
 The overall 5-year survival rates were 100% for stage I, 65% for stage II, 56% for stage III, and 0% for stage IV.
 Radical mastectomy offered no advantage over modified radical mastectomy in terms of survival or rate of recurrence.
 Diagnosis at an early clinical stage and no finding of disease in axillary lymph nodes were important factors in survival in this series of patients.
 All tumors evaluated for hormone receptors were positive.
 Although experience was limited, encouraging results were obtained with the use of tamoxifen citrate in adjuvant as well as palliative roles.
 With the exception of a predominance of centrally located lesions and a uniquely high frequency of positive hormone receptor status, carcinoma of the male breast appears biologically similar to the disease in women, and treatment should be guided by similar principles.
",3
