Unnamed: 0,text,label
4335,nestle to acquire nabisco canada businesses swiss based nestle s a s nestle enterprises ltd unit said it signed a letter of intent to acquire nabisco brands ltd s club melrose dickson and chase and sanborn businesses for undisclosed terms nestle said the final agreement subject to required approvals would be signed shortly the businesses involved in the deal provide products to hotels restaurants and other parts of the food and beverage industry nabisco is pct owned by rjr nabisco inc rjr reuter,acq
5446,sedgwick buys bsi incorp sedgwick group plc sdwk l said its wholly owned canadian subsidiary sedgwick tomenson inc had acquired bsi incorp for a maximum eight mln canadian dlrs the funds will be raised through the issue of up to mln ordinary sedgwick shares to the vendors of bsi by no later than january some shares already have been issued bsi is a privately held canadian company involved in actuarial employee and executive benefits consulting and administration its pretax profits excluding extraordinary items totalled mln canadian dlrs reuter,acq
3097,canamax to acquire krezmar gold property stake canamax resources inc said it agreed to acquire the pct interest it does not already own in the krezmar gold property near wawa ontario by paying nine mln dlrs to algoma steel corp ltd and granting algoma a four pct net smelter return royalty which is payable after payback the property s drill indicated reserves to a depth of feet are estimated at over one mln tons averaging ounces of gold a ton canamax said reuter,acq
1209,bancroft bcv shareholders rebuke zico offer bancroft convertible fund inc the target of an unfriendly cash offer by zico investment holdings inc said its shareholders approved proposals requiring a pct affirmative vote of all outstanding shares before fundamental changes in its status could be made previously only a simple majority of outstanding shares was needed to change bancroft s investment status from a diversified to a non diversified fund among other things bancroft said its board continues to recommend that stockholders not tender their shares to zico a british virgin islands company which it said had ties to south africa reuter,acq
154,exco buys u s government securities broker exco international plc a subsidiary of british and commonwealth shipping co plc bcom l said it had agreed in principle to buy an pct stake in rmj holdings corp for about mln dlrs exco chairman richard lacy told reuters the acquisition was being made from bank of new york co inc bk n which currently holds a pct and from rmj partners who hold the remainder bank of new york and the partners will retain about pct each and these stakes will be bought over the next six years rmj is the holding company of rmj securities one of the largest u s government securities brokers it is also involved in broking notes obligations and other instruments sponsored by u s federal agencies lacy said exco had been considering buying a u s government securities broker for the past four years and had made an offer for rmj when it was sold by security pacific corp spc n in rmj was then valued at about mln dlrs b and c managing director peter goldie said rmj would be bought at about the same multiple as exco suggesting net income of around mln dlrs the company s earnings had not been hit by the halving of brokerage fees some months ago as volumes had since doubled lacy said that rmj employed some people with in the brokerage business and about in its sms unit which provided computer software for the financial services community rmj securities had offices in new york where total market turnover of u s government securities was billion dlrs a day and in london where it has billion it was also given permission last week to open an office in tokyo where total market turnover had lifted rapidly to about five billion dlrs a day the acquisition would contribute between five and pct of b and c s share earnings in on a proforma basis reuter,acq
2063,investors up intermedics itm stake to pct a group of investment firms told the securities and exchange commission they raised their stake in intermedics inc to shares or pct of the total outstanding from shares or pct bessemer securities corp a new york investment firm cilluffo associates l p a new york investment partnership and related entities said they bought intermedics common shares between february and march for mln dlrs reuter,acq
3714,twa twa in court settlement with usair u trans world airlines inc said it reached an agreement yesterday in federal court with usair group inc that prevents twa from buying additional shares of usair under the agreement twa which holds about pct of usair stock will not buy more usair shares before april and will not do so after that date without giving days notice to usair twa also agreed that it would not knowingly and willingly interfere with the consummation of the merger between usair and piedmont aviation inc pie twa said the court agreement confirms previous announcements by the company in filings with the securities and exchange commission that it does not presently intend to seek control of usair or to acquire additional common stock as a result of the agreement the court removed a previous temporary restraining order against twa the company said twa and usair have also agreed that all litigation between them in pittsburgh and delaware will be stayed until april twa said the agreement does not prevent it from commenting to regulatory agencies on the usair piedmont merger in a separate statement usair said the agreement also included a provision that all usair shares currently owned by twa and its chairman carl icahn will be voted through a voting trust in proportion to the votes of other shares not controlled by twa or icahn reuter,acq
1189,donaldson dci to buy mine safety mnes unit donaldson co inc said it reached an agreement to buy the assets of the filter products division of mine safety appliances co for undisclosed terms it said filter products will operate as part of donaldson s industrial group and its manufacturing operations will be relocated to dixon ill from evans city pa donaldson said the acquisition complements its microfiltration business and internal research and development efforts reuter,acq
5131,minstar inc said it sold all mln of its borg warner shares,acq
170,dale burdett inc faces damage claim dale burdett inc said it faces damages claims totalling about dlrs from the former owners of burdett publications inc the company said on february its predecessor nolex development inc acquired burdett publications inc in an exchange of mln common shares for all burdett publications shares but the transaction was not qualified with the california department of corporations as a result it said the former burdett publications owners have a claim for damages against dale burdett as successor to nolex for one yuear starting january with the damages measured by the difference in values of shares exchanged plus interest from february reuter,acq
1538,richmond hill rich riverhead end merger talks richmond hill savings bank and riverhead savings bank fsb said they terminated their previously announced merger negotiations the banks gave no reason for ending the talks which began on january reuter,acq
5746,internatio mueller acquires canadian company internatio mueller nv intn as said it will acquire promac controls inc of canada but declined to comment on the amount of the payment which will be in cash promac which produces measurement and regulating equipment has a work force of and had turnover of five mln guilders an internatio spokesman said he said the takeover fits into the company s drive for expansion in the u s and canada and further acquisitions are possible promac controls will be part of internatio s electrotechnical sector reuter,acq
